City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Vestmannaeyjar,IS,63.4427,-20.2734,51.44,94,100,9.04,overcast clouds
79,Walvis Bay,NA,-22.9575,14.5053,77.95,31,0,6.91,clear sky
80,Nome,US,64.5011,-165.4064,45.16,98,100,11.99,light rain
81,Kyenjojo,UG,0.6328,30.6214,71.06,48,69,4.68,broken clouds
82,Tsabong,BW,-26.0217,22.401,66.24,34,9,6.71,clear sky
83,Nizhniy Ingash,RU,56.2,96.53,56.89,96,79,4.32,broken clouds
84,Kieta,PG,-6.2167,155.6333,76.96,75,9,2.73,clear sky
85,Saldanha,ZA,-33.0117,17.9442,57.25,85,100,3.74,overcast clouds
86,Bethel,US,41.3712,-73.414,93.34,47,0,1.01,clear sky
87,Curuguaty,PY,-24.4694,-55.6945,87.84,26,50,7.61,scattered clouds
88,Upernavik,GL,72.7868,-56.1549,42.06,95,100,24.96,light rain
89,Saint-Philippe,RE,-21.3585,55.7679,69.39,81,35,14.23,light rain
90,Jalu,LY,29.0331,21.5482,92.61,16,0,9.17,clear sky
91,Zhangzhou,CN,24.5133,117.6556,80.35,92,1,1.3,clear sky
92,Santiago,CL,-33.4569,-70.6483,73.29,41,0,3.44,clear sky
93,Lorengau,PG,-2.0226,147.2712,81.64,80,88,7.29,overcast clouds
94,Manado,ID,1.487,124.8455,75.97,94,40,1.14,scattered clouds
95,Montbrison,FR,45.6667,4.0833,93.54,29,100,10.38,overcast clouds
96,Norman Wells,CA,65.282,-126.8329,71.46,47,33,4.88,scattered clouds
97,Dingle,PH,10.9995,122.6711,77.0,90,75,4.5,broken clouds
98,Berlevag,NO,70.8578,29.0864,57.0,87,100,13.8,overcast clouds
99,Ancud,CL,-41.8697,-73.8203,40.23,96,100,11.5,moderate rain
100,Hilo,US,19.7297,-155.09,77.29,97,100,6.91,mist
101,Butaritari,KI,3.0707,172.7902,80.96,76,30,9.19,scattered clouds
102,Puerto Escondido,MX,15.85,-97.0667,84.85,70,98,6.06,overcast clouds
103,Novyy Urengoy,RU,66.0833,76.6333,49.59,71,100,6.31,overcast clouds
104,Keuruu,FI,62.2667,24.7,77.18,77,96,7.18,overcast clouds
105,Pisco,PE,-13.7,-76.2167,65.57,67,1,7.0,clear sky
106,Vanavara,RU,60.34,102.2797,60.78,71,85,5.93,overcast clouds
107,Prince Rupert,CA,54.3161,-130.3201,58.8,75,98,4.16,overcast clouds
108,Narsaq,GL,60.9167,-46.05,62.82,59,59,6.51,broken clouds
109,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,0,13.8,clear sky
110,Lavumisa,SZ,-27.31,31.892,65.16,82,29,3.6,scattered clouds
111,Makakilo City,US,21.3469,-158.0858,76.19,80,6,13.94,clear sky
112,Jilib,SO,0.4883,42.7854,73.62,79,53,9.13,broken clouds
