City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
551,Wisconsin Rapids,US,82.29,clear sky,44.3836,-89.8174,Hotel Mead & Conference Center
552,Palmer,US,81.25,overcast clouds,42.1584,-72.3287,Wedgewood Motel
560,Pailon,BO,89.28,clear sky,-17.65,-62.75,La plaza
561,Lodwar,KE,83.37,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
562,Lexington,US,80.49,overcast clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
563,Dadri,IN,86.45,overcast clouds,28.5667,77.55,GUJJAR HAVELI
565,Bardiyah,LY,78.96,clear sky,31.7561,25.0865,بورتو بردية
573,Algiers,DZ,80.42,few clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
578,Maebaru,JP,76.68,clear sky,33.55,130.2,Guest house Kotonoha
579,Ajdabiya,LY,79.74,clear sky,30.7554,20.2263,Almadina Hotel
581,Pleasanton,US,89.33,clear sky,37.6624,-121.8747,Four Points by Sheraton Pleasanton
582,San Pedro,PH,78.03,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
588,Tucuman,AR,80.6,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
591,Kambam,ID,76.15,overcast clouds,5.2505,96.8629,Rumah Rizkina Olshops
593,Quang Ngai,VN,75.25,scattered clouds,15.1167,108.8,Central Hotel
594,Altamira,BR,84.29,overcast clouds,-3.2033,-52.2064,Requinte Hotel
610,Bara,NG,75.63,overcast clouds,10.3744,10.7288,
611,Bubaque,GW,79.97,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
624,Gaoual,GN,75.06,light rain,11.75,-13.2,Hotel koliba
625,Hingorja,PK,82.89,light rain,27.2109,68.416,Lakyari House Hingorja
631,Alto Araguaia,BR,80.44,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
635,Pedara,IT,77.0,clear sky,37.6169,15.0567,La Casa del Poeta dell'Etna
636,Iranshahr,IR,84.54,scattered clouds,27.2025,60.6848,نیک سرشت
641,Prainha,BR,87.01,few clouds,-1.8,-53.48,Casa Rocha
644,Silver City,US,84.16,scattered clouds,32.7701,-108.2803,Copper Manor Motel
645,Dhidhdhoo,MV,81.07,scattered clouds,6.8833,73.1,Dhidhoo beach
657,Jefferson City,US,82.83,clear sky,38.5767,-92.1735,DoubleTree by Hilton Hotel Jefferson City
662,Diffa,NE,87.93,broken clouds,13.3154,12.6113,ProDAF/Diffa
663,Chaman,PK,82.47,scattered clouds,30.9236,66.4512,Niamat parda Center chaman
664,Awbari,LY,84.92,clear sky,26.5921,12.7805,فندق أوباري
665,Maicao,CO,89.35,scattered clouds,11.3832,-72.2432,Hotel Sancho
666,Nang Rong,TH,77.67,overcast clouds,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
670,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
673,Barreirinhas,BR,78.51,overcast clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
677,Habiganj,BD,76.6,few clouds,24.3833,91.4167,উত্তর শৈলজুড়া (গয়েবপুর)
678,Madang,PG,77.05,heavy intensity rain,-5.2246,145.7966,Comfort Inn Hotel
679,Houlton,US,77.41,scattered clouds,46.1262,-67.8403,Ivey's Motor Lodge Houlton
681,Marihatag,PH,77.14,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
682,Ormara,PK,82.9,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
683,West Bay,KY,89.67,few clouds,19.3667,-81.4167,Calypso Cove
686,Kashi,CN,88.81,dust,39.4547,75.9797,帕米尔青年旅舍
687,Tiznit,MA,85.26,clear sky,29.5833,-9.5,
688,Punahana,IN,84.97,overcast clouds,27.8667,77.2,Aatam dairy
693,Caceres,ES,76.98,clear sky,39.522,-6.3748,Ahc Hoteles
